Average Transmission Out Size,Average Transmission In Size,Average Transmission Time,Connection Time,Average Efficiency
267,267,5,10018,248
267,267,5,10001,267
267,267,3,10001,267
267,267,4,9999,267
267,267,10,10001,254
267,267,4,10003,267
267,267,4,10003,267
267,267,4,10003,267
267,267,4,10079,267
267,267,3,10004,267
267,267,12,10137,267
267,267,3,10000,267
267,267,3,10053,267
267,267,3,10004,267
267,267,42,10001,267
267,267,26,10004,267
267,267,5,9999,267
267,267,4,10005,267
267,267,4,9998,267
267,267,3,10000,267
267,267,3,10001,267
267,267,3,10003,267
267,267,4,10004,267
267,267,7,10109,267
267,267,6,10002,267
267,267,55,10004,267
267,267,25,10003,267
267,267,6,10001,267
267,267,5,10202,267
267,267,3,10002,267
267,267,3,10003,267
267,267,3,10003,267
267,267,3,10002,267
267,267,2,10002,267
267,267,3,10004,267
267,267,4,10005,267
267,267,3,10002,267
267,267,3,10001,267
267,267,3,10007,267
267,267,3,10003,267
267,267,4,10002,267
267,267,3,9991,267
267,267,3,10003,267
267,267,3,10002,267
267,267,4,10001,267
267,267,3,10012,267
267,267,4,10002,267
267,267,3,10003,267
267,267,3,10002,267
267,267,3,10002,267
267,267,3,10003,267
267,267,4,10002,267
535,535,76,20357,535
535,535,93,20573,535
535,535,62,20328,535
535,535,123,20129,535
535,535,106,20148,535
535,535,120,20264,535
535,535,63,20225,535
535,535,86,20189,535
535,535,78,20141,535
535,535,126,20233,535
535,535,63,20111,535
535,535,63,20101,535
535,535,69,20083,535
535,535,76,20083,535
535,535,64,20091,535
535,535,61,20106,535
535,535,72,20104,535
535,535,72,20166,535
535,535,61,20154,535
535,535,63,20084,535
535,535,61,20167,535
535,535,62,20169,535
535,535,75,20107,535
535,535,91,20366,535
535,535,72,20190,535
535,535,72,20165,535
535,535,66,20108,535
535,535,63,20115,535
535,535,69,23025,535
535,535,62,20086,535
535,535,63,20080,535
535,535,64,20104,535
535,535,99,20123,523
535,535,67,20075,535
535,535,70,20086,535
535,535,64,20288,535
535,535,73,20118,535
535,535,81,20165,535
535,535,65,20088,535
535,535,60,20087,535
535,535,100,20079,535
535,535,82,20168,535
535,535,73,20085,535
535,535,61,20089,535
535,535,61,20077,535
535,535,97,20105,535
535,535,64,20074,535
535,535,88,20107,535
535,535,76,20121,535
535,535,72,20080,535
